,A,group,Observed Y,distance,model,run_number
178,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.8820122893530264,"$X_1, X_2,$
$Z_{A'}, Z_A$",4
179,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.48358769172472,"$X_1, X_2,$
$Z_{A'}, Z_A$",4
180,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3429400492094987,"$X_1, X_2,$
$Z_{A'}, Z_A$",5
181,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3811504964576184,"$X_1, X_2,$
$Z_{A'}, Z_A$",5
182,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,3.0076220239764395,"$X_1, X_2,$
$Z_{A'}, Z_A$",5
183,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.5562310440389333,"$X_1, X_2,$
$Z_{A'}, Z_A$",5
184,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.31910563763975,"$X_1, X_2,$
$Z_{A'}, Z_A$",6
185,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.345745917469551,"$X_1, X_2,$
$Z_{A'}, Z_A$",6
186,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,3.202154146640475,"$X_1, X_2,$
$Z_{A'}, Z_A$",6
187,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.5859865681604335,"$X_1, X_2,$
$Z_{A'}, Z_A$",6
188,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.2820699853051494,"$X_1, X_2,$
$Z_{A'}, Z_A$",7
189,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3196142503138724,"$X_1, X_2,$
$Z_{A'}, Z_A$",7
190,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.870047838861702,"$X_1, X_2,$
$Z_{A'}, Z_A$",7
191,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.477391946082194,"$X_1, X_2,$
$Z_{A'}, Z_A$",7
192,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.259283211981216,"$X_1, X_2,$
$Z_{A'}, Z_A$",8
